               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096483,             0.03564,                   0,           0.0027318,              0.3303,           0.0022565,           0.0006499,             0.08973,            0.021433,                   0,            0.070345,            0.003295,            0.003295
                   1,            0.091997,            0.037928,                   0,           0.0024311,             0.29394,           0.0034013,           0.0006878,             0.09113,            0.021285,                   0,            0.040279,           0.0065627,           0.0065627
                   2,            0.090812,            0.035947,                   0,           0.0024311,             0.29394,           0.0027171,          0.00064135,            0.093023,              0.0204,                   0,            0.010148,           0.0097644,           0.0097644
                   3,            0.089046,            0.037605,                   0,           0.0045361,             0.17576,           0.0038366,          0.00090836,            0.094583,            0.020409,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.084281,            0.037774,                   0,           0.0052921,              0.1303,            0.003077,          0.00081079,            0.096748,            0.027819,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.080827,            0.038871,                   0,           0.0086025,            0.075758,           0.0036202,          0.00087802,            0.099433,             0.02048,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.076599,            0.038558,                   0,            0.016754,             0.14242,           0.0073566,           0.0019857,            0.092315,            0.023117,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.073707,            0.036366,                   0,           0.0096778,                 0.1,           0.0040864,           0.0011119,            0.097799,            0.028722,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.06959,             0.03685,                   0,             0.25567,             0.25758,             0.17553,            0.068537,            0.066977,            0.020989,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.067406,            0.036506,                   0,             0.25005,              0.1697,             0.11531,            0.029101,            0.074734,            0.023241,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.064606,            0.036386,                   0,             0.42014,             0.22424,               0.213,            0.056697,            0.070287,            0.019453,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.062058,            0.034796,                   0,              0.4328,              0.2697,             0.27273,            0.081473,            0.071575,            0.017592,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.060295,            0.035278,                   0,             0.39951,             0.28182,             0.27044,            0.077678,            0.065762,            0.018725,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.058671,            0.033065,                   0,             0.45224,             0.29522,             0.32153,             0.12569,            0.061615,            0.019102,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.058564,            0.034064,                   0,             0.36561,             0.21515,             0.19125,            0.054256,            0.072332,            0.017302,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.057212,            0.033419,                   0,             0.45791,             0.35758,             0.32512,             0.12446,            0.063347,            0.017508,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.056026,            0.033142,                   0,             0.29373,             0.26667,             0.22176,            0.071133,            0.066838,            0.018266,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.054796,            0.031976,                   0,             0.54497,             0.38788,              0.4161,             0.14653,            0.062449,            0.015988,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.053096,            0.032485,                   0,             0.49846,             0.46982,             0.44359,             0.14488,            0.057237,            0.017283,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.05287,            0.031662,                   0,             0.49578,             0.36352,             0.36795,              0.1511,            0.060116,            0.016892,                   0,            0.008218,            0.008218,            0.008218
